CLUSTER,MPG,HEIGHT_IN,WEIGHT,AGE,FG3A_RATE,FTA_RATE,PLUS_MINUS,CLUSTER_NAME
0,13.823661485319517,79.06735751295336,216.9119170984456,23.556131260794473,0.5281924152217178,0.16957746308825083,-0.8872193436960276,Bench Slasher
1,33.34621621621622,75.71351351351352,201.95135135135135,28.345945945945946,0.3538697218755933,0.286198880734183,4.714054054054054,Playmaking Shot Creator
2,14.570048309178745,77.38647342995169,207.52657004830917,24.45169082125604,0.23954989084981426,0.3657305611330306,-0.666183574879227,Paint Beast
3,18.195907928388745,79.87468030690538,230.32480818414322,32.70843989769821,0.5576443809629161,0.16482276231333448,-0.28184143222506386,Stretch Glass Cleaner
4,30.927083333333332,82.54947916666667,252.4375,28.833333333333332,0.08438677284960247,0.40645093505827307,3.746875,2-Way Facilitator
5,25.454010695187165,77.42245989304813,209.7192513368984,27.855614973262032,0.5956957655677235,0.15213777742893209,2.174598930481284,3-Level Scorer
6,19.53821339950372,74.70223325062035,192.3424317617866,33.287841191066995,0.3770947626299514,0.19753146363970914,-0.7188585607940445,Veteran Lockdown
7,27.583333333333332,82.11021505376344,250.08870967741936,24.79032258064516,0.05973706303959361,0.3616105723016589,-2.7666666666666666,Rim Protector
8,27.030086580086582,77.98484848484848,210.63419913419912,23.83116883116883,0.3751363512426721,0.23066195341027612,-4.704978354978355,Scoring Machine
9,16.49119804400978,81.93154034229829,249.31295843520783,33.0,0.05514667412784499,0.28692992501967773,-0.6704156479217603,Post Facilitator
10,13.64925925925926,82.39259259259259,251.71481481481482,26.51851851851852,0.022694493598332477,0.6427280911729977,-0.514074074074074,Glass Cleaning Finisher
11,13.485439999999999,82.0656,243.7648,24.564799999999998,0.09264801032879455,0.2848262260940202,-0.7673599999999999,Inside Finisher
12,13.779707112970712,73.97489539748953,186.9246861924686,24.271966527196653,0.39059624995875775,0.17363935254573915,-0.8223849372384936,2-Way Sharpshooter
13,30.60492125984252,80.05905511811024,230.05905511811025,26.161417322834644,0.2847597197059066,0.25702653506209727,1.24251968503937,3-Level Big
14,30.518750000000004,74.87731481481481,194.68287037037038,26.6875,0.3165004622480343,0.25300242938780876,-0.8136574074074073,Shot Creator
