Feature,Coefficient
MPG,-0.015649988629320453
POS_Unknown,-0.010043850790949905
PLUS_MINUS,-0.009882846946393237
WEIGHT,-0.0004869831475042961
AGE,0.00047663431621421527
HEIGHT_IN,0.0005273736286323207
POS_Forward,0.0005744459144273093
POS_Guard,0.0027167020907961446
FG3A_RATE,0.042812428695999556
FTA_RATE,0.08248579209571195
