Feature,Slope,P_Value,R2,MSE
MPG,-0.016265456543805037,0.0,0.34678991100887224,0.04053982120588705
PLUS_MINUS,-0.02095724072458379,1.7502401049105518e-86,0.05829311513052937,0.05844464037584658
AGE,-0.0035609553952125426,3.8762579013039274e-07,0.003973683684062812,0.06181583760007546
WEIGHT,-0.00038704018390413314,0.000771917616696344,0.0017465705270681697,0.061954057708294055
FG3A_RATE,0.03795148616888018,0.006350893543477397,0.0011507549228244596,0.0619910354869212
FTA_RATE,-0.0485685034078997,0.02651409034893273,0.0007606561748626506,0.06201524597258505
HEIGHT_IN,0.00011947274905692144,0.8932038596346807,2.7863317649812203e-06,0.06206228123498274
